Species,Image Number,Treatment,Treatment Name,Preparation Type,Total Barbs,,,,,,,,,,,,,,,,,,,,,,,,,Mean AI,Mean AI per preparation type,Mean AI per treament
Manx Shearwater,164.1,0,Control,Oiled & Percolation,25,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,2,1,1,1,,,,,1.25,,
Manx Shearwater,164.2,0,Control,Oiled & Percolation,25,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1,,,,,1.25,,
Manx Shearwater,164.3,0,Control,Oiled & Percolation,21,3,5,1,2,1,1,1,2,2,1,2,,,,,,,,,,,,,,1.91,,
Manx Shearwater,164.4,0,Control,Oiled & Percolation,21,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,1.11,,
Manx Shearwater,170.1,0,Control,Oiled & Percolation,25,1,1,3,1,1,1,1,1,1,3,2,1,2,2,3,1,,,,,,,,,1.56,,
Manx Shearwater,170.2,0,Control,Oiled & Percolation,25,1,1,1,3,1,1,3,1,2,2,1,3,1,2,2,,,,,,,,,,1.67,,
Manx Shearwater,170.3,0,Control,Oiled & Percolation,25,1,3,1,2,1,1,1,1,1,1,1,1,1,2,3,2,1,1,,,,,,,1.39,,
Manx Shearwater,170.4,0,Control,Oiled & Percolation,25,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,1,1,,,,,,,1.39,1.44,
Manx Shearwater,188.1,0,Control,Oiled,25,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,,
Manx Shearwater,188.2,0,Control,Oiled,21,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,1.05,,
Manx Shearwater,188.3,0,Control,Oiled,21,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,,,,,,,1.17,,
