mean_AI,AI_treatment,AI_treatment_name
1.25,0,Control
1.25,0,Control
1.91,0,Control
1.11,0,Control
1.56,0,Control
1.67,0,Control
1.39,0,Control
1.39,0,Control
1.04,0,Control
1.05,0,Control
1.17,0,Control
1.14,0,Control
1.17,0,Control
1.11,0,Control
1.04,0,Control
1.09,0,Control
1.50,1,Trace Colour Sheen
2.10,1,Trace Colour Sheen
2.10,1,Trace Colour Sheen
1.91,1,Trace Colour Sheen
2.10,1,Trace Colour Sheen
1.62,1,Trace Colour Sheen
3.50,1,Trace Colour Sheen
3.50,1,Trace Colour Sheen
1.75,1,Trace Colour Sheen
1.56,1,Trace Colour Sheen
1.75,1,Trace Colour Sheen
2.10,1,Trace Colour Sheen
2.08,1,Trace Colour Sheen
2.50,1,Trace Colour Sheen
2.78,1,Trace Colour Sheen
2.50,1,Trace Colour Sheen
4.20,2,Dark Colour Sheen
3.50,2,Dark Colour Sheen
5.25,2,Dark Colour Sheen
3.50,2,Dark Colour Sheen
5.25,2,Dark Colour Sheen
5.00,2,Dark Colour Sheen
5.25,2,Dark Colour Sheen
5.00,2,Dark Colour Sheen
3.00,2,Dark Colour Sheen
2.33,2,Dark Colour Sheen
4.20,2,Dark Colour Sheen
4.20,2,Dark Colour Sheen
5.00,2,Dark Colour Sheen
5.25,2,Dark Colour Sheen
2.33,2,Dark Colour Sheen
4.20,2,Dark Colour Sheen
5.25,3,Standard Slick
4.20,3,Standard Slick
2.63,3,Standard Slick
3.00,3,Standard Slick
3.50,3,Standard Slick
2.63,3,Standard Slick
3.00,3,Standard Slick
2.33,3,Standard Slick
2.33,3,Standard Slick
2.63,3,Standard Slick
1.75,3,Standard Slick
2.10,3,Standard Slick
3.50,3,Standard Slick
3.50,3,Standard Slick
3.50,3,Standard Slick
2.33,3,Standard Slick
2.33,4,Severe Slick
2.33,4,Severe Slick
1.91,4,Severe Slick
2.78,4,Severe Slick
1.31,4,Severe Slick
1.91,4,Severe Slick
2.10,4,Severe Slick
2.63,4,Severe Slick
2.63,4,Severe Slick
2.33,4,Severe Slick
2.08,4,Severe Slick
1.91,4,Severe Slick
1.67,4,Severe Slick
2.10,4,Severe Slick
2.33,4,Severe Slick
1.91,4,Severe Slick
