species,number,location,date_feather_collected,date_oiled,study_type,treatment,length,pre_weight,post_weight,weight_change,perc_weight_change,time
manx_shearwater,1,great_blasket,07/07/2015,18/05/2021,percolation,0,4.3,,,,,32.14
manx_shearwater,2,great_blasket,02/07/2015,18/05/2021,percolation,1,4.1,,,,,145.21
manx_shearwater,3,great_blasket,07/07/2015,18/05/2021,percolation,2,4.4,,,,,28.13
manx_shearwater,4,great_blasket,09/07/2015,18/05/2021,percolation,3,3.8,,,,,58.35
manx_shearwater,5,great_blasket,09/07/2015,18/05/2021,percolation,4,4.0,,,,,20.45
manx_shearwater,6,great_blasket,20/07/2014,21/05/2021,percolation,0,4.2,0.0076,0.0076,0.0000,0.00,172.84
manx_shearwater,7,great_blasket,19/07/2014,21/05/2021,percolation,1,4.1,0.0078,0.0080,0.0002,2.56,30.84
manx_shearwater,8,great_blasket,19/07/2014,21/05/2021,percolation,2,4.3,0.0088,0.0108,0.0020,22.73,18.72
manx_shearwater,9,great_blasket,19/07/2014,21/05/2021,percolation,3,3.7,0.0061,0.0196,0.0135,221.31,15.33
manx_shearwater,10,great_blasket,16/07/2014,21/05/2021,percolation,4,4.0,0.0083,0.0489,0.0406,489.16,113.95
manx_shearwater,11,great_blasket,10/07/2015,24/05/2021,percolation,0,4.0,0.0077,0.0077,0.0000,0.00,67.90
manx_shearwater,12,high_island,27/07/2014,24/05/2021,percolation,1,4.1,0.0078,0.0082,0.0004,5.13,338.84
manx_shearwater,13,high_island,27/07/2014,24/05/2021,percolation,2,5.0,0.0103,0.0156,0.0053,51.46,33.78
manx_shearwater,14,high_island,01/08/2014,24/05/2021,percolation,3,3.9,0.0068,0.0288,0.0220,323.53,61.31
manx_shearwater,15,high_island,31/07/2014,24/05/2021,percolation,4,3.9,0.0080,0.0434,0.0354,442.50,381.41
manx_shearwater,16,high_island,26/07/2014,25/05/2021,percolation,0,3.9,0.0070,0.0071,0.0001,1.43,818.03
manx_shearwater,17,great_blasket,28/07/2015,25/05/2021,percolation,1,3.8,0.0056,0.0057,0.0001,1.79,100.28
manx_shearwater,18,great_blasket,28/07/2015,25/05/2021,percolation,2,4.8,0.0097,0.0310,0.0213,219.59,80.49
manx_shearwater,19,great_blasket,24/07/2014,25/05/2021,percolation,3,3.7,0.0067,0.0329,0.0262,391.04,30.05
manx_shearwater,20,high_island,28/05/2015,25/05/2021,percolation,4,4.3,0.0071,0.0602,0.0531,747.89,20.96
manx_shearwater,21,high_island,24/06/2015,26/05/2021,percolation,0,4.1,0.0075,0.0075,0.0000,0.00,355.41
manx_shearwater,22,high_island,25/05/2015,26/05/2021,percolation,1,4.0,0.0078,0.0080,0.0002,2.56,422.90
manx_shearwater,23,high_island,03/07/2015,26/05/2021,percolation,2,3.8,0.0077,0.0110,0.0033,42.86,271.01
manx_shearwater,24,high_island,26/06/2015,26/05/2021,percolation,3,4.1,0.0082,0.0404,0.0322,392.68,987.31
manx_shearwater,25,high_island,02/06/2015,26/05/2021,percolation,4,3.7,0.0055,0.0412,0.0357,649.09,15.23
manx_shearwater,26,high_island,02/06/2015,01/06/2021,percolation,0,3.6,0.0069,0.0069,0.0000,0.00,740.27
manx_shearwater,27,high_island,07/06/2015,01/06/2021,percolation,1,3.9,0.0073,0.0074,0.0001,1.37,41.79
manx_shearwater,28,high_island,03/06/2015,01/06/2021,percolation,2,3.9,0.0078,0.0102,0.0024,30.77,380.64
manx_shearwater,29,high_island,06/06/2015,01/06/2021,percolation,3,4.0,0.0085,0.0308,0.0223,262.35,26.15
manx_shearwater,30,high_island,06/06/2015,01/06/2021,percolation,4,3.9,0.0076,0.0477,0.0401,527.63,717.90
manx_shearwater,31,high_island,13/06/2015,01/06/2021,percolation,0,4.5,0.0093,0.0093,0.0000,0.00,501.72
